Date,Restaurant,Rating,Author,Review,Day,Bag_of_Words,Length_of_Review,Percent_Positive,Percent_Negative,Sentiment,Alcohol
2019-09-21,Rockfish Food & Wine,2.0,gringamex,"I had long wanted to try the Rockfish and I have to say that I was disappointed. The staff were great and, fortunately, understanding, as I had to return two items to the kitchen. The melon salad was simply the worst salad I've ever been served: the melon was rock hard and brownish, the salad leaves were mottled and bitter, and the prosciutto consisted of smalll, thick slices of fat. They replaced it with a beet salad that was a bit better, though I don't understand why there were so few beets or why they were chopped up into small bits. My second plate was drum fish and that had to be returned because it was raw, which in this type of fish means you can't even cut it. On the other hand, I loved the possibility of having a wine flight.",Saturday,"['i', 'had', 'long', 'wanted', 'to', 'try', 'the', 'rockfish', 'and', 'i', 'have', 'to', 'say', 'that', 'i', 'was', 'disappointed', 'the', 'staff', 'were', 'great', 'and', 'fortunately', 'understanding', 'as', 'i', 'had', 'to', 'return', 'two', 'items', 'to', 'the', 'kitchen', 'the', 'melon', 'salad', 'was', 'simply', 'the', 'worst', 'salad', ""i've"", 'ever', 'been', 'served', 'the', 'melon', 'was', 'rock', 'hard', 'and', 'brownish', 'the', 'salad', 'leaves', 'were', 'mottled', 'and', 'bitter', 'and', 'the', 'prosciutto', 'consisted', 'of', 'smalll', 'thick', 'slices', 'of', 'fat', 'they', 'replaced', 'it', 'with', 'a', 'beet', 'salad', 'that', 'was', 'a', 'bit', 'better', 'though', 'i', ""don't"", 'understand', 'why', 'there', 'were', 'so', 'few', 'beets', 'or', 'why', 'they', 'were', 'chopped', 'up', 'into', 'small', 'bits', 'my', 'second', 'plate', 'was', 'drum', 'fish', 'and', 'that', 'had', 'to', 'be', 'returned', 'because', 'it', 'was', 'raw', 'which', 'in', 'this', 'type', 'of', 'fish', 'means', 'you', ""can't"", 'even', 'cut', 'it', 'on', 'the', 'other', 'hand', 'i', 'loved', 'the', 'possibility', 'of', 'having', 'a', 'wine', 'flight']",142,0.028169014084507043,0.035211267605633804,Negative,Yes
2019-09-03,Rockfish Food & Wine,4.0,mrsirin,This spacious place has a varied menu offering meats and fish. There is also a good wine list. Service was good.,Tuesday,"['this', 'spacious', 'place', 'has', 'a', 'varied', 'menu', 'offering', 'meats', 'and', 'fish', 'there', 'is', 'also', 'a', 'good', 'wine', 'list', 'service', 'was', 'good']",21,0.14285714285714285,0.0,Positive,No
2019-08-22,Rockfish Food & Wine,5.0,dolceniente,"What a wonderful surprise! We had dinner in this little gem of a place in Grandin Village. I like to cook and am a tough critic with food that has been prepared for me. Happily, the menu selections are interesting without being pretentious. Each dish we tried was creative, fresh and well prepared. Plus delicious tasting!They have a decent wine and cocktail selection.The atmosphere is serene, the service is very good and friendly. I will be returning for sure to try other selections.Tip: Be sure to try the Carrot Soup! And the Shrimp and Grits are outstanding.",Thursday,"['what', 'a', 'wonderful', 'surprise', 'we', 'had', 'dinner', 'in', 'this', 'little', 'gem', 'of', 'a', 'place', 'in', 'grandin', 'village', 'i', 'like', 'to', 'cook', 'and', 'am', 'a', 'tough', 'critic', 'with', 'food', 'that', 'has', 'been', 'prepared', 'for', 'me', 'happily', 'the', 'menu', 'selections', 'are', 'interesting', 'without', 'being', 'pretentious', 'each', 'dish', 'we', 'tried', 'was', 'creative', 'fresh', 'and', 'well', 'prepared', 'plus', 'delicious', 'tasting!they', 'have', 'a', 'decent', 'wine', 'and', 'cocktail', 'selection.the', 'atmosphere', 'is', 'serene', 'the', 'service', 'is', 'very', 'good', 'and', 'friendly', 'i', 'will', 'be', 'returning', 'for', 'sure', 'to', 'try', 'other', 'selections.tip', 'be', 'sure', 'to', 'try', 'the', 'carrot', 'soup', 'and', 'the', 'shrimp', 'and', 'grits', 'are', 'outstanding']",97,0.18556701030927836,0.030927835051546393,Positive,Yes
2019-08-12,Rockfish Food & Wine,5.0,Gary W,"Really enjoyed our Sunday Dinner at Rockfish! Server was friendly, professional and timely. Owner was on the premise and stopped by to check on things - always a good sign. The She-crab soup may have been the best my wife has eaten anywhere.....and she has enjoyed it all over the SE coast. I had great tomato basil gazpacho that was soup du jour. My Corvina was excellent with a nice crisp edge. We liked that both entrees were served over delicious vegetables and greens really did not have a starch. Will return when back in Roanoke.",Monday,"['really', 'enjoyed', 'our', 'sunday', 'dinner', 'at', 'rockfish', 'server', 'was', 'friendly', 'professional', 'and', 'timely', 'owner', 'was', 'on', 'the', 'premise', 'and', 'stopped', 'by', 'to', 'check', 'on', 'things', '', 'always', 'a', 'good', 'sign', 'the', 'she-crab', 'soup', 'may', 'have', 'been', 'the', 'best', 'my', 'wife', 'has', 'eaten', 'anywhere.....and', 'she', 'has', 'enjoyed', 'it', 'all', 'over', 'the', 'se', 'coast', 'i', 'had', 'great', 'tomato', 'basil', 'gazpacho', 'that', 'was', 'soup', 'du', 'jour', 'my', 'corvina', 'was', 'excellent', 'with', 'a', 'nice', 'crisp', 'edge', 'we', 'liked', 'that', 'both', 'entrees', 'were', 'served', 'over', 'delicious', 'vegetables', 'and', 'greens', 'really', 'did', 'not', 'have', 'a', 'starch', 'will', 'return', 'when', 'back', 'in', 'roanoke']",96,0.09375,0.0,Positive,No
2019-05-30,Rockfish Food & Wine,5.0,veracity55,"Just had our first meal at Rockfish. The hostess greeted us promptly and showed us to our table while offering us the choice of a booth if we prepared. Our waitress appeared promptly, told us about the specials and answered our questions. We started with the black bean appetizer, the only speed bump of the evening. Although tasty, it was a lot of black beans and rice and a relatively minimal amount of chorizo, tomatoes, sour cream, and sweet potato chips. The chips were what would really have elevated this had there just been enough. We both ordered a wine pairing (what a great idea - 3 half-glasses of wine for 11.00). My husband's strip steak was good, but my crab cakes were the best I've had in years - all crab instead of mostly bread. They were accompanied by a tasty spiniach and lemon viniagrette that nicely offset the somewhat spicy root vegetable hash. We finished off by sharing a slice of flourless chocolate torte. Service throughout was prompt and correct. It was pleasantly quiet so that we were able to carry on a conversation. We will definitely be back.",Thursday,"['just', 'had', 'our', 'first', 'meal', 'at', 'rockfish', 'the', 'hostess', 'greeted', 'us', 'promptly', 'and', 'showed', 'us', 'to', 'our', 'table', 'while', 'offering', 'us', 'the', 'choice', 'of', 'a', 'booth', 'if', 'we', 'prepared', 'our', 'waitress', 'appeared', 'promptly', 'told', 'us', 'about', 'the', 'specials', 'and', 'answered', 'our', 'questions', 'we', 'started', 'with', 'the', 'black', 'bean', 'appetizer', 'the', 'only', 'speed', 'bump', 'of', 'the', 'evening', 'although', 'tasty', 'it', 'was', 'a', 'lot', 'of', 'black', 'beans', 'and', 'rice', 'and', 'a', 'relatively', 'minimal', 'amount', 'of', 'chorizo', 'tomatoes', 'sour', 'cream', 'and', 'sweet', 'potato', 'chips', 'the', 'chips', 'were', 'what', 'would', 'really', 'have', 'elevated', 'this', 'had', 'there', 'just', 'been', 'enough', 'we', 'both', 'ordered', 'a', 'wine', 'pairing', 'what', 'a', 'great', 'idea', '', '3', 'half-glasses', 'of', 'wine', 'for', '11.00', 'my', ""husband's"", 'strip', 'steak', 'was', 'good', 'but', 'my', 'crab', 'cakes', 'were', 'the', 'best', ""i've"", 'had', 'in', 'years', '', 'all', 'crab', 'instead', 'of', 'mostly', 'bread', 'they', 'were', 'accompanied', 'by', 'a', 'tasty', 'spiniach', 'and', 'lemon', 'viniagrette', 'that', 'nicely', 'offset', 'the', 'somewhat', 'spicy', 'root', 'vegetable', 'hash', 'we', 'finished', 'off', 'by', 'sharing', 'a', 'slice', 'of', 'flourless', 'chocolate', 'torte', 'service', 'throughout', 'was', 'prompt', 'and', 'correct', 'it', 'was', 'pleasantly', 'quiet', 'so', 'that', 'we', 'were', 'able', 'to', 'carry', 'on', 'a', 'conversation', 'we', 'will', 'definitely', 'be', 'back']",191,0.07329842931937172,0.015706806282722512,Positive,Yes
2019-03-23,Rockfish Food & Wine,1.0,942kenv,"There is no dedicated parking for the restaurant thus I dropped off group and searched for a spot. When I sat down the waitress immediately asked what I wanted to drink. I asked for a chance to review their drink selection. 5 minutes later she comes back. By that time I had forgotten and had to look again. I ordered 2 different martinis. They both tasted the same and werent worth the cost. We ordered oyster sliders, Caesar salad, crab bisque, crab cakes, and strip. Sliders were very good. 2 of the 3 people in our party ordered the bisque and cakes. We both sent back the bisque and cakes. The strip was fine.",Saturday,"['there', 'is', 'no', 'dedicated', 'parking', 'for', 'the', 'restaurant', 'thus', 'i', 'dropped', 'off', 'group', 'and', 'searched', 'for', 'a', 'spot', 'when', 'i', 'sat', 'down', 'the', 'waitress', 'immediately', 'asked', 'what', 'i', 'wanted', 'to', 'drink', 'i', 'asked', 'for', 'a', 'chance', 'to', 'review', 'their', 'drink', 'selection', '5', 'minutes', 'later', 'she', 'comes', 'back', 'by', 'that', 'time', 'i', 'had', 'forgotten', 'and', 'had', 'to', 'look', 'again', 'i', 'ordered', '2', 'different', 'martinis', 'they', 'both', 'tasted', 'the', 'same', 'and', 'werent', 'worth', 'the', 'cost', 'we', 'ordered', 'oyster', 'sliders', 'caesar', 'salad', 'crab', 'bisque', 'crab', 'cakes', 'and', 'strip', 'sliders', 'were', 'very', 'good', '2', 'of', 'the', '3', 'people', 'in', 'our', 'party', 'ordered', 'the', 'bisque', 'and', 'cakes', 'we', 'both', 'sent', 'back', 'the', 'bisque', 'and', 'cakes', 'the', 'strip', 'was', 'fine']",114,0.03508771929824561,0.017543859649122806,Positive,Yes
2019-01-12,Rockfish Food & Wine,4.0,DomPaone,"Threat of snow seemed to keep patrons away but very happy we visited Rockfish. Had nice special of stripped bass and salmon. Started with some tasty calamari couple of bottles of wine with dinner and a wonderful dinner and evening with friends. Wait staff (Sarah) was very good and delight to speak with. All in all great food, delightful atmosphere and great friends made for a nice evening despite a little snow.",Saturday,"['threat', 'of', 'snow', 'seemed', 'to', 'keep', 'patrons', 'away', 'but', 'very', 'happy', 'we', 'visited', 'rockfish', 'had', 'nice', 'special', 'of', 'stripped', 'bass', 'and', 'salmon', 'started', 'with', 'some', 'tasty', 'calamari', 'couple', 'of', 'bottles', 'of', 'wine', 'with', 'dinner', 'and', 'a', 'wonderful', 'dinner', 'and', 'evening', 'with', 'friends', 'wait', 'staff', 'sarah', 'was', 'very', 'good', 'and', 'delight', 'to', 'speak', 'with', 'all', 'in', 'all', 'great', 'food', 'delightful', 'atmosphere', 'and', 'great', 'friends', 'made', 'for', 'a', 'nice', 'evening', 'despite', 'a', 'little', 'snow']",72,0.16666666666666666,0.041666666666666664,Positive,Yes
2018-09-30,Rockfish Food & Wine,5.0,6744Sullivan3,"My wife and I are very fond of Rockfish in Roanoke: the menu is always interesting, the wine list extensive, and the prices reasonable. The chef is creative and skilled, and the owner is, welcoming, friendly, and knowledgeable about wine. We enjoy every aspect of this excellent restaurant and go there often.",Sunday,"['my', 'wife', 'and', 'i', 'are', 'very', 'fond', 'of', 'rockfish', 'in', 'roanoke', 'the', 'menu', 'is', 'always', 'interesting', 'the', 'wine', 'list', 'extensive', 'and', 'the', 'prices', 'reasonable', 'the', 'chef', 'is', 'creative', 'and', 'skilled', 'and', 'the', 'owner', 'is', 'welcoming', 'friendly', 'and', 'knowledgeable', 'about', 'wine', 'we', 'enjoy', 'every', 'aspect', 'of', 'this', 'excellent', 'restaurant', 'and', 'go', 'there', 'often']",52,0.15384615384615385,0.0,Positive,No
2018-08-06,Rockfish Food & Wine,5.0,travlrrr,"Excellent, fresh, local deliciousness, engaging and pleasant staff, fantastic wine selection. Always delicious and safe gluten-free options. Highly recommend.",Monday,"['excellent', 'fresh', 'local', 'deliciousness', 'engaging', 'and', 'pleasant', 'staff', 'fantastic', 'wine', 'selection', 'always', 'delicious', 'and', 'safe', 'gluten-free', 'options', 'highly', 'recommend']",19,0.3684210526315789,0.0,Positive,No
2018-06-17,Rockfish Food & Wine,5.0,Vacation332738,"This is my favorite restaurant in Roanoke. We had the fried green tomatoes, fried oysters, the grouper with grits, and the salmon. Every bite was delicious and cooked to perfection. The oysters were delicate and crispy. The grouper we moist and cooked perfectly. The service was top notch and very welcoming. I cant wait to eat here again!",Sunday,"['this', 'is', 'my', 'favorite', 'restaurant', 'in', 'roanoke', 'we', 'had', 'the', 'fried', 'green', 'tomatoes', 'fried', 'oysters', 'the', 'grouper', 'with', 'grits', 'and', 'the', 'salmon', 'every', 'bite', 'was', 'delicious', 'and', 'cooked', 'to', 'perfection', 'the', 'oysters', 'were', 'delicate', 'and', 'crispy', 'the', 'grouper', 'we', 'moist', 'and', 'cooked', 'perfectly', 'the', 'service', 'was', 'top', 'notch', 'and', 'very', 'welcoming', 'i', 'cant', 'wait', 'to', 'eat', 'here', 'again']",58,0.10344827586206896,0.0,Positive,No
2019-10-05,Three Notch'd Craft Kitchen & Brewery,5.0,WayneWalkJr,"Great beer, great food , great service. This was a very nice experience! The food and beer were delicious. The service was top notch. Nice location. Parking near by.",Saturday,"['great', 'beer', 'great', 'food', '', 'great', 'service', 'this', 'was', 'a', 'very', 'nice', 'experience', 'the', 'food', 'and', 'beer', 'were', 'delicious', 'the', 'service', 'was', 'top', 'notch', 'nice', 'location', 'parking', 'near', 'by']",29,0.2413793103448276,0.0,Positive,No
2019-09-18,Three Notch'd Craft Kitchen & Brewery,5.0,jjric,"Stopped for lunch and sat upstairs with street view. Nice beer selection of IPAs, but would recommend adding a few darker beers for those of us who prefer a more malty beer. Our server, Ben, was great! He gave us suggestions from the menu and told us his personal favorites. The Shut your hatch burger with a unique blend of flavors. Rich Parmesan fries. Fantastic! A must when visiting Roanoke again.",Wednesday,"['stopped', 'for', 'lunch', 'and', 'sat', 'upstairs', 'with', 'street', 'view', 'nice', 'beer', 'selection', 'of', 'ipas', 'but', 'would', 'recommend', 'adding', 'a', 'few', 'darker', 'beers', 'for', 'those', 'of', 'us', 'who', 'prefer', 'a', 'more', 'malty', 'beer', 'our', 'server', 'ben', 'was', 'great', 'he', 'gave', 'us', 'suggestions', 'from', 'the', 'menu', 'and', 'told', 'us', 'his', 'personal', 'favorites', 'the', 'shut', 'your', 'hatch', 'burger', 'with', 'a', 'unique', 'blend', 'of', 'flavors', 'rich', 'parmesan', 'fries', 'fantastic', 'a', 'must', 'when', 'visiting', 'roanoke', 'again']",71,0.08450704225352113,0.0,Positive,No
2019-09-01,Three Notch'd Craft Kitchen & Brewery,5.0,travelqueen7810,We went to Three Notch'd because we love to visit breweries whenever we travel. This place did not disappoint. The food was great from the pretzel bites to the salad and 40 mile Philly to the Borwnie ice cream dessert. Service was top notch and our food came out quickly. The Blonde Ambition beer was great!! Has outside or inside seating. Don't miss this place when visiting Roanoke!,Sunday,"['we', 'went', 'to', 'three', ""notch'd"", 'because', 'we', 'love', 'to', 'visit', 'breweries', 'whenever', 'we', 'travel', 'this', 'place', 'did', 'not', 'disappoint', 'the', 'food', 'was', 'great', 'from', 'the', 'pretzel', 'bites', 'to', 'the', 'salad', 'and', '40', 'mile', 'philly', 'to', 'the', 'borwnie', 'ice', 'cream', 'dessert', 'service', 'was', 'top', 'notch', 'and', 'our', 'food', 'came', 'out', 'quickly', 'the', 'blonde', 'ambition', 'beer', 'was', 'great', 'has', 'outside', 'or', 'inside', 'seating', ""don't"", 'miss', 'this', 'place', 'when', 'visiting', 'roanoke']",68,0.058823529411764705,0.0,Positive,No
2019-07-28,Three Notch'd Craft Kitchen & Brewery,4.0,cremebrulee960,This brewery staff is always friendly. The beer rotation is very good and most are canned and ready to go. I like the fact that there is a full service restaurant compare to most breweries.,Sunday,"['this', 'brewery', 'staff', 'is', 'always', 'friendly', 'the', 'beer', 'rotation', 'is', 'very', 'good', 'and', 'most', 'are', 'canned', 'and', 'ready', 'to', 'go', 'i', 'like', 'the', 'fact', 'that', 'there', 'is', 'a', 'full', 'service', 'restaurant', 'compare', 'to', 'most', 'breweries']",35,0.08571428571428572,0.0,Positive,No
2019-07-20,Three Notch'd Craft Kitchen & Brewery,5.0,801joef,"Great brewery and the food is excellent! Good selection of appetizers, sandwiches and main dishes. Beer selection is fantastic and the service is friendly and prompt ! Best thing is you can munch while tasting the brews unlike most breweries!",Saturday,"['great', 'brewery', 'and', 'the', 'food', 'is', 'excellent', 'good', 'selection', 'of', 'appetizers', 'sandwiches', 'and', 'main', 'dishes', 'beer', 'selection', 'is', 'fantastic', 'and', 'the', 'service', 'is', 'friendly', 'and', 'prompt', '', 'best', 'thing', 'is', 'you', 'can', 'munch', 'while', 'tasting', 'the', 'brews', 'unlike', 'most', 'breweries']",40,0.15,0.0,Positive,No
2019-07-13,Three Notch'd Craft Kitchen & Brewery,4.0,Carolyn427,"Visited this brewery around 530 and seated on the third floor promptly by a window. Service was good. We asked for recommendations on which beer to try based on our liking. She was a help. Food was good, a little pricy. Beer was good to.",Saturday,"['visited', 'this', 'brewery', 'around', '530', 'and', 'seated', 'on', 'the', 'third', 'floor', 'promptly', 'by', 'a', 'window', 'service', 'was', 'good', 'we', 'asked', 'for', 'recommendations', 'on', 'which', 'beer', 'to', 'try', 'based', 'on', 'our', 'liking', 'she', 'was', 'a', 'help', 'food', 'was', 'good', 'a', 'little', 'pricy', 'beer', 'was', 'good', 'to']",45,0.15555555555555556,0.022222222222222223,Positive,Yes
2019-07-03,Three Notch'd Craft Kitchen & Brewery,5.0,Janine C K,"Enjoyed the $10 lunch special, had the watermelon salad - delicious dressing, but would have enjoyed a little less melon and a little more greens. The grilled tofu was bland, Ill try it fried next time. Mac and cheese side was creamy and had crumbled cheez its on top, fun and tasty! Great beer selection.",Wednesday,"['enjoyed', 'the', '10', 'lunch', 'special', 'had', 'the', 'watermelon', 'salad', '', 'delicious', 'dressing', 'but', 'would', 'have', 'enjoyed', 'a', 'little', 'less', 'melon', 'and', 'a', 'little', 'more', 'greens', 'the', 'grilled', 'tofu', 'was', 'bland', 'ill', 'try', 'it', 'fried', 'next', 'time', 'mac', 'and', 'cheese', 'side', 'was', 'creamy', 'and', 'had', 'crumbled', 'cheez', 'its', 'on', 'top', 'fun', 'and', 'tasty', 'great', 'beer', 'selection']",55,0.09090909090909091,0.09090909090909091,Neutral,Yes
2019-05-18,Three Notch'd Craft Kitchen & Brewery,5.0,AmbersM0mmy,Visiting Roanoke for the day and this the perfect place to sit for a few and enjoy a beer. The server was extremely friendly and helpful. I enjoyed sitting out on the patio.,Saturday,"['visiting', 'roanoke', 'for', 'the', 'day', 'and', 'this', 'the', 'perfect', 'place', 'to', 'sit', 'for', 'a', 'few', 'and', 'enjoy', 'a', 'beer', 'the', 'server', 'was', 'extremely', 'friendly', 'and', 'helpful', 'i', 'enjoyed', 'sitting', 'out', 'on', 'the', 'patio']",33,0.09090909090909091,0.030303030303030304,Positive,Yes
2019-05-12,Three Notch'd Craft Kitchen & Brewery,3.0,GSP13,"We had to wait an extremely long time before someone came to our table. Waitress was nice, did apologize for the wait and was attentive afterwards. She made up for the wait. Beers were decent. Food I thought was extremely high priced for the quantity and quality. It was very loud and hard to hold a conversation. I would not come back unless just grabbing a quick beer.",Sunday,"['we', 'had', 'to', 'wait', 'an', 'extremely', 'long', 'time', 'before', 'someone', 'came', 'to', 'our', 'table', 'waitress', 'was', 'nice', 'did', 'apologize', 'for', 'the', 'wait', 'and', 'was', 'attentive', 'afterwards', 'she', 'made', 'up', 'for', 'the', 'wait', 'beers', 'were', 'decent', 'food', 'i', 'thought', 'was', 'extremely', 'high', 'priced', 'for', 'the', 'quantity', 'and', 'quality', 'it', 'was', 'very', 'loud', 'and', 'hard', 'to', 'hold', 'a', 'conversation', 'i', 'would', 'not', 'come', 'back', 'unless', 'just', 'grabbing', 'a', 'quick', 'beer']",68,0.058823529411764705,0.04411764705882353,Positive,Yes
